interaction, session, ses start, topic no, product, goal, tasttype, subject no, subject, currquery start, intxn count, intxn start time, avg click time, clicks, click order
1,1,09:54:08.725624,1,factual,specific,known-item,1,403b,09:55:00.877477,1,09:54:27.674484,1011496.0,2,2.1
2,2,15:05:17.249315,2,intellectual,specific,interpretive,1,403b,15:10:23.618551,4,15:05:39.979220,7236503.42857,7,1.2.4.6.10.9.8
3,2,15:05:17.249315,2,intellectual,specific,interpretive,1,403b,15:10:23.618551,4,15:07:35.824814,7584616.33333,3,1.2.3
4,2,15:05:17.249315,2,intellectual,specific,interpretive,1,403b,15:10:23.618551,4,15:08:33.537848,6751298.0,1,1
5,2,15:05:17.249315,2,intellectual,specific,interpretive,1,403b,15:10:23.618551,4,15:09:18.207845,0,0,
6,3,14:38:29.350404,3,factual,amorphous,known-subject,2,computer programming,14:40:36.983887,1,14:39:10.618365,11552412.0,2,8.6
7,4,15:59:22.431908,4,factual,amorphous,known-subject,3,pocono mountains,16:01:53.195636,3,15:59:42.529127,9960460.0,2,1.2
8,4,15:59:22.431908,4,factual,amorphous,known-subject,3,pocono mountains,16:01:53.195636,3,16:00:41.114564,0,0,
9,4,15:59:22.431908,4,factual,amorphous,known-subject,3,pocono mountains,16:01:53.195636,3,16:00:55.044065,34551194.0,1,2
10,5,13:13:10.473082,4,factual,amorphous,known-subject,3,pocono mountains,13:16:01.582131,2,13:13:34.997032,22048640.6667,3,3.7.1
11,5,13:13:10.473082,4,factual,amorphous,known-subject,3,pocono mountains,13:16:01.582131,2,13:15:21.834623,12374426.0,1,3
12,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:17:57.166303,10562805.0,3,1.1.3
13,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:20:01.334784,8646061.33333,3,1.2.3
14,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:20:45.833768,3410062.5,4,2.3.2.3
15,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:21:47.816322,15833780.5,2,2.5
16,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:24:18.346182,11318908.0,1,1
17,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:24:48.697904,16107834.5,2,4.2
18,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:27:06.217924,28307751.0,1,1
19,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:27:55.821108,0,0,
20,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:28:23.565099,0,0,
21,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:28:47.188465,2412644.0,1,1
22,7,14:38:34.753308,5,intellectual,amorphous,exploratory,3,pocono mountains,14:41:44.734548,2,14:38:49.526590,30879328.5,2,8.9
23,7,14:38:34.753308,5,intellectual,amorphous,exploratory,3,pocono mountains,14:41:44.734548,2,14:40:44.159927,18666717.0,1,1
24,8,16:43:38.971122,6,factual,specific,known-item,4,designer dogs,16:45:47.576802,1,16:44:07.709947,40930026.0,1,8
25,9,14:43:49.696920,6,factual,specific,known-item,4,designer dogs,14:45:18.065401,1,14:44:06.014282,0,0,
26,10,13:46:00.177127,7,intellectual,specific,interpretive,4,designer dogs,13:47:06.355424,1,13:46:40.828250,0,0,
27,11,16:31:47.756123,8,factual,specific,known-item,5,russian submarine kursk sinking,16:42:13.003414,8,16:32:15.855250,73883730.5,2,1.2
28,11,16:31:47.756123,8,factual,specific,known-item,5,russian submarine kursk sinking,16:42:13.003414,8,16:35:14.427822,10808044.0,1,5
29,11,16:31:47.756123,8,factual,specific,known-item,5,russian submarine kursk sinking,16:42:13.003414,8,16:36:03.162958,27585933.0,1,1
30,11,16:31:47.756123,8,factual,specific,known-item,5,russian submarine kursk sinking,16:42:13.003414,8,16:37:01.143570,0,0,
31,11,16:31:47.756123,8,factual,specific,known-item,5,russian submarine kursk sinking,16:42:13.003414,8,16:37:14.530363,57539446.0,1,4
32,11,16:31:47.756123,8,factual,specific,known-item,5,russian submarine kursk sinking,16:42:13.003414,8,16:39:25.574765,0,0,
33,11,16:31:47.756123,8,factual,specific,known-item,5,russian submarine kursk sinking,16:42:13.003414,8,16:40:17.938551,20918574.0,1,1
34,11,16:31:47.756123,8,factual,specific,known-item,5,russian submarine kursk sinking,16:42:13.003414,8,16:41:29.349961,0,0,
35,12,20:21:33.357439,8,factual,specific,known-item,5,russian submarine kursk sinking,20:23:26.916280,1,20:22:12.984271,28109022.0,1,5
36,13,15:38:33.656345,8,factual,specific,known-item,5,russian submarine kursk sinking,15:43:42.234363,1,15:39:44.652243,198949254.0,1,1
37,14,18:20:12.646621,9,intellectual,amorphous,exploratory,5,russian submarine kursk sinking,18:24:48.346353,1,18:20:39.695194,46334409.25,4,1.2.9.5
38,15,15:29:05.011777,9,intellectual,amorphous,exploratory,5,russian submarine kursk sinking,15:38:52.869182,1,15:30:12.425318,29399450.625,8,2.4.8.9.10.1.11.12
39,16,15:10:33.479065,9,intellectual,amorphous,exploratory,5,russian submarine kursk sinking,15:12:26.104580,3,15:11:22.977595,0,0,
40,16,15:10:33.479065,9,intellectual,amorphous,exploratory,5,russian submarine kursk sinking,15:12:26.104580,3,15:12:00.922271,0,0,
41,16,15:10:33.479065,9,intellectual,amorphous,exploratory,5,russian submarine kursk sinking,15:12:26.104580,3,15:12:04.870169,33843.0,1,1
42,17,16:09:23.430181,10,intellectual,amorphous,exploratory,6,miss universe 2000 crowned,16:11:16.335350,1,16:10:09.968361,0,0,
43,18,15:14:23.276482,10,intellectual,amorphous,exploratory,6,miss universe 2000 crowned,15:16:33.448408,2,15:15:08.813984,7620.0,1,1
44,18,15:14:23.276482,10,intellectual,amorphous,exploratory,6,miss universe 2000 crowned,15:16:33.448408,2,15:16:15.761922,0,0,
45,19,11:54:34.117117,11,factual,specific,known-item,7,port arthur massacre,11:56:41.735535,1,11:54:43.094605,9303580.0,5,1.2.1.2.4
46,20,12:55:45.335585,11,factual,specific,known-item,7,port arthur massacre,12:56:15.536456,1,12:56:06.359368,0,0,
47,21,14:47:48.270384,11,factual,specific,known-item,7,port arthur massacre,14:51:15.059978,3,14:48:13.101285,17630480.5,2,1.2
48,21,14:47:48.270384,11,factual,specific,known-item,7,port arthur massacre,14:51:15.059978,3,14:49:45.392629,11836577.0,1,2
49,21,14:47:48.270384,11,factual,specific,known-item,7,port arthur massacre,14:51:15.059978,3,14:50:18.967442,7100.0,1,2
50,22,11:13:17.398484,12,factual,amorphous,known-subject,7,port arthur massacre,11:19:23.165976,4,11:13:35.810592,26687950.6667,3,1.3.7
51,22,11:13:17.398484,12,factual,amorphous,known-subject,7,port arthur massacre,11:19:23.165976,4,11:15:57.756431,0,0,
52,22,11:13:17.398484,12,factual,amorphous,known-subject,7,port arthur massacre,11:19:23.165976,4,11:16:03.459506,0,0,
53,22,11:13:17.398484,12,factual,amorphous,known-subject,7,port arthur massacre,11:19:23.165976,4,11:16:40.021559,26992792.0,3,1.8.16
54,23,17:27:58.983308,12,factual,amorphous,known-subject,7,port arthur massacre,17:34:28.293874,1,17:28:41.740335,98289759.6667,3,1.2.1
55,24,11:22:02.745158,13,factual,specific,known-item,8,france wins world cup in soccer,11:24:58.802722,2,11:22:17.644199,39507498.0,1,2
56,24,11:22:02.745158,13,factual,specific,known-item,8,france wins world cup in soccer,11:24:58.802722,2,11:23:41.473660,26834289.0,1,7
57,25,14:37:24.609176,13,factual,specific,known-item,8,france wins world cup in soccer,14:43:28.221647,6,14:38:11.408329,0,0,
58,25,14:37:24.609176,13,factual,specific,known-item,8,france wins world cup in soccer,14:43:28.221647,6,14:38:25.078788,11175426.0,2,1.1
59,25,14:37:24.609176,13,factual,specific,known-item,8,france wins world cup in soccer,14:43:28.221647,6,14:39:26.468600,8995669.5,2,1.1
60,25,14:37:24.609176,13,factual,specific,known-item,8,france wins world cup in soccer,14:43:28.221647,6,14:40:22.210849,3100787.0,1,1
61,25,14:37:24.609176,13,factual,specific,known-item,8,france wins world cup in soccer,14:43:28.221647,6,14:40:59.940309,3819415.0,3,1.3.2
62,25,14:37:24.609176,13,factual,specific,known-item,8,france wins world cup in soccer,14:43:28.221647,6,14:42:32.434462,15201873.0,1,2
63,26,17:11:42.674705,14,factual,amorphous,known-subject,8,france wins world cup in soccer,17:14:33.429813,2,17:12:41.148225,1616732.5,2,1.10
64,26,17:11:42.674705,14,factual,amorphous,known-subject,8,france wins world cup in soccer,17:14:33.429813,2,17:13:37.173918,0,0,
65,27,10:21:26.317280,14,factual,amorphous,known-subject,8,france wins world cup in soccer,10:22:36.292615,2,10:21:46.108713,0,0,
66,27,10:21:26.317280,14,factual,amorphous,known-subject,8,france wins world cup in soccer,10:22:36.292615,2,10:22:07.457216,0,0,
67,28,14:54:16.813288,14,factual,amorphous,known-subject,8,france wins world cup in soccer,14:59:41.952086,2,14:54:46.095363,0,0,
68,28,14:54:16.813288,14,factual,amorphous,known-subject,8,france wins world cup in soccer,14:59:41.952086,2,14:55:19.420490,36951281.0,4,1.3.1.7
69,29,11:32:56.153352,15,factual,specific,known-item,9,bollywood,11:42:31.281213,4,11:33:07.076499,72058694.0,2,1.2
70,29,11:32:56.153352,15,factual,specific,known-item,9,bollywood,11:42:31.281213,4,11:38:09.872989,21612790.0,2,2.3
71,29,11:32:56.153352,15,factual,specific,known-item,9,bollywood,11:42:31.281213,4,11:39:55.295895,0,0,
72,29,11:32:56.153352,15,factual,specific,known-item,9,bollywood,11:42:31.281213,4,11:40:43.955548,21896466.5,2,2.9
73,30,09:29:50.851204,15,factual,specific,known-item,9,bollywood,09:31:44.841817,1,09:30:09.801088,54485579.0,1,2
74,31,10:31:43.188591,16,factual,amorphous,known-subject,9,bollywood,10:45:22.978148,2,10:32:32.598277,203250854.0,2,1.2
75,31,10:31:43.188591,16,factual,amorphous,known-subject,9,bollywood,10:45:22.978148,2,10:41:15.298127,78951245.5,2,4.7
76,32,15:59:15.462820,16,factual,amorphous,known-subject,9,bollywood,16:00:42.063073,1,15:59:46.044148,0,0,
77,33,14:44:59.167610,16,factual,amorphous,known-subject,9,bollywood,14:52:48.018941,1,14:45:41.326030,6950466.0,1,3
78,34,18:58:25.062014,17,factual,specific,known-item,10,merck &amp; co,18:59:20.870234,1,18:58:39.489551,0,0,
79,35,16:03:59.626579,18,intellectual,specific,interpretive,10,merck &amp; co,16:07:53.444435,4,16:04:36.631818,0,0,
80,35,16:03:59.626579,18,intellectual,specific,interpretive,10,merck &amp; co,16:07:53.444435,4,16:04:59.726216,0,0,
81,35,16:03:59.626579,18,intellectual,specific,interpretive,10,merck &amp; co,16:07:53.444435,4,16:05:40.226631,21955783.5,2,2.1
82,35,16:03:59.626579,18,intellectual,specific,interpretive,10,merck &amp; co,16:07:53.444435,4,16:06:51.213136,21749061.0,1,1
83,36,14:43:45.990943,18,intellectual,specific,interpretive,10,merck & co,14:45:38.799222,2,14:44:21.653639,0,0,
84,36,14:43:45.990943,18,intellectual,specific,interpretive,10,merck & co,14:45:38.799222,2,14:44:54.603065,0,0,
85,37,02:01:05.711808,18,intellectual,specific,interpretive,10,merck & co,02:04:02.081366,1,02:01:46.378892,62199432.0,1,1
86,38,17:04:35.528427,19,factual,specific,known-item,11,akira kurosawa,17:08:18.639994,1,17:05:37.699669,42441923.3333,3,1.3.2
87,39,10:56:21.501754,20,intellectual,amorphous,exploratory,11,akira kurosawa,11:12:32.604080,3,10:56:35.563309,47964365.0,3,1.2.10
88,39,10:56:21.501754,20,intellectual,amorphous,exploratory,11,akira kurosawa,11:12:32.604080,3,11:00:42.829352,22369516.0,1,11
89,39,10:56:21.501754,20,intellectual,amorphous,exploratory,11,akira kurosawa,11:12:32.604080,3,11:03:24.985915,21309430.0,1,2
90,40,10:13:30.620365,21,factual,specific,known-item,12,water turbines,10:19:20.287652,1,10:14:10.491020,57617287.5,4,1.6.7.10
91,41,14:51:48.004364,21,factual,specific,known-item,12,water turbines,14:58:14.755380,2,14:52:47.972131,0,0,
92,41,14:51:48.004364,21,factual,specific,known-item,12,water turbines,14:58:14.755380,2,14:56:47.430102,0,0,
93,42,18:14:53.047484,21,factual,specific,known-item,12,water turbines,18:45:14.467973,5,18:16:56.020331,134239748.5,2,1.2
94,42,18:14:53.047484,21,factual,specific,known-item,12,water turbines,18:45:14.467973,5,18:23:44.281740,46982664.25,4,1.8.3.1
95,42,18:14:53.047484,21,factual,specific,known-item,12,water turbines,18:45:14.467973,5,18:30:06.941606,147869354.333,3,1.2.5
96,42,18:14:53.047484,21,factual,specific,known-item,12,water turbines,18:45:14.467973,5,18:39:48.606508,23265795.0,4,2.9.8.9
97,42,18:14:53.047484,21,factual,specific,known-item,12,water turbines,18:45:14.467973,5,18:43:07.225541,40052905.5,2,5.4
98,43,16:28:07.906691,21,factual,specific,known-item,12,water turbines,16:33:53.995287,2,16:29:59.556848,26689725.5,2,2.5
99,43,16:28:07.906691,21,factual,specific,known-item,12,water turbines,16:33:53.995287,2,16:31:40.494126,26375332.0,2,5.2
100,44,18:44:28.687421,22,factual,amorphous,known-subject,12,water turbines,18:48:54.767378,2,18:44:53.300358,140727603.0,1,2
101,44,18:44:28.687421,22,factual,amorphous,known-subject,12,water turbines,18:48:54.767378,2,18:48:12.285172,33884.0,1,2
102,45,14:06:29.824229,22,factual,amorphous,known-subject,12,water turbines,14:09:48.683309,1,14:07:54.307336,32908055.0,1,4
103,46,16:19:57.879484,23,factual,specific,known-item,13,pseudopregnancy,16:22:00.116669,1,16:20:05.635258,87775655.0,1,2
104,47,15:02:23.003399,23,factual,specific,known-item,13,pseudopregnancy,15:03:29.383027,2,15:02:40.706741,0,0,
105,47,15:02:23.003399,23,factual,specific,known-item,13,pseudopregnancy,15:03:29.383027,2,15:03:02.999013,0,0,
106,48,11:28:18.349207,24,intellectual,amorphous,exploratory,13,pseudopregnancy,11:42:37.057162,1,11:29:34.957809,90350288.6667,3,1.2.3
107,49,14:50:31.839511,24,intellectual,amorphous,exploratory,13,pseudopregnancy,14:51:47.875554,2,14:50:56.804048,0,0,
108,49,14:50:31.839511,24,intellectual,amorphous,exploratory,13,pseudopregnancy,14:51:47.875554,2,14:51:15.651996,0,0,
109,50,13:30:41.626418,24,intellectual,amorphous,exploratory,13,pseudopregnancy,13:35:05.333571,3,13:30:58.858258,0,0,
110,50,13:30:41.626418,24,intellectual,amorphous,exploratory,13,pseudopregnancy,13:35:05.333571,3,13:31:34.851734,55986723.5,2,1.2
111,50,13:30:41.626418,24,intellectual,amorphous,exploratory,13,pseudopregnancy,13:35:05.333571,3,13:34:05.058271,0,0,
112,51,19:18:43.184965,24,intellectual,amorphous,exploratory,13,pseudopregnancy,19:20:14.204939,1,19:19:22.693905,0,0,
113,52,15:44:36.138889,24,intellectual,amorphous,exploratory,13,pseudopregnancy,15:47:40.733967,5,15:44:59.216807,0,0,
114,52,15:44:36.138889,24,intellectual,amorphous,exploratory,13,pseudopregnancy,15:47:40.733967,5,15:45:23.216965,13234857.5,2,1.2
115,52,15:44:36.138889,24,intellectual,amorphous,exploratory,13,pseudopregnancy,15:47:40.733967,5,15:46:30.949245,0,0,
116,52,15:44:36.138889,24,intellectual,amorphous,exploratory,13,pseudopregnancy,15:47:40.733967,5,15:46:56.910434,0,0,
117,52,15:44:36.138889,24,intellectual,amorphous,exploratory,13,pseudopregnancy,15:47:40.733967,5,15:47:17.657021,0,0,
118,53,08:22:16.825692,25,factual,specific,known-item,15,severed spinal cord,08:23:18.541553,1,08:22:38.678685,0,0,
119,54,16:13:40.054859,26,factual,specific,known-item,16,silicone roof coatings,16:14:25.439355,1,16:14:03.381284,0,0,
120,55,11:33:00.512812,26,factual,specific,known-item,16,silicone roof coatings,11:36:56.349999,3,11:33:09.040344,14449188.5,2,1.5
121,55,11:33:00.512812,26,factual,specific,known-item,16,silicone roof coatings,11:36:56.349999,3,11:34:11.114724,0,0,
122,55,11:33:00.512812,26,factual,specific,known-item,16,silicone roof coatings,11:36:56.349999,3,11:34:45.117206,24728892.3333,3,5.7.1
123,56,15:07:36.056876,26,factual,specific,known-item,16,silicone roof coatings,15:14:08.239681,5,15:07:53.616349,0,0,
124,56,15:07:36.056876,26,factual,specific,known-item,16,silicone roof coatings,15:14:08.239681,5,15:08:28.067816,0,0,
125,56,15:07:36.056876,26,factual,specific,known-item,16,silicone roof coatings,15:14:08.239681,5,15:09:10.416030,76686570.0,1,1
126,56,15:07:36.056876,26,factual,specific,known-item,16,silicone roof coatings,15:14:08.239681,5,15:11:10.340555,29463747.0,1,7
127,56,15:07:36.056876,26,factual,specific,known-item,16,silicone roof coatings,15:14:08.239681,5,15:12:37.169699,50685984.0,1,1
128,57,09:45:07.579478,27,intellectual,amorphous,exploratory,16,silicone roof coatings,10:29:03.976802,4,09:46:18.494157,216069763.5,2,26.50
129,57,09:45:07.579478,27,intellectual,amorphous,exploratory,16,silicone roof coatings,10:29:03.976802,4,09:57:59.695250,234350228.0,3,3.1.2
130,57,09:45:07.579478,27,intellectual,amorphous,exploratory,16,silicone roof coatings,10:29:03.976802,4,10:14:08.751905,52623714.2857,7,1.2.2.5.8.10.11
131,57,09:45:07.579478,27,intellectual,amorphous,exploratory,16,silicone roof coatings,10:29:03.976802,4,10:22:49.838878,92955028.3333,3,4.6.17
132,58,15:01:25.730304,27,intellectual,amorphous,exploratory,16,silicone roof coatings,15:03:22.958137,1,15:02:27.199147,0,0,
133,59,15:51:40.025049,27,intellectual,amorphous,exploratory,16,silicone roof coatings,15:52:35.278287,1,15:52:05.149459,0,0,
134,60,09:34:44.260758,27,intellectual,amorphous,exploratory,16,silicone roof coatings,09:38:47.427696,1,09:35:13.471215,29815685.3333,3,3.1.3
135,61,14:42:58.688215,28,factual,specific,known-item,17,weddings,14:44:25.977327,1,14:43:23.195710,22478662.0,1,1
136,62,10:50:04.345890,28,factual,specific,known-item,17,weddings,10:52:23.872468,1,10:50:30.159993,27939203.5,2,1.2
137,63,18:34:20.734191,29,intellectual,amorphous,exploratory,17,weddings,18:51:02.328003,2,18:35:02.202248,30819331.3333,3,1.5.4
138,63,18:34:20.734191,29,intellectual,amorphous,exploratory,17,weddings,18:51:02.328003,2,18:49:16.701028,25557159.0,1,9
139,64,15:07:54.368076,30,factual,specific,known-item,18,sunspot activity,15:15:58.134448,4,15:08:06.758359,175026699.0,1,1
140,64,15:07:54.368076,30,factual,specific,known-item,18,sunspot activity,15:15:58.134448,4,15:11:09.724924,33019125.0,1,7
141,64,15:07:54.368076,30,factual,specific,known-item,18,sunspot activity,15:15:58.134448,4,15:12:44.444943,77969375.0,1,3
142,64,15:07:54.368076,30,factual,specific,known-item,18,sunspot activity,15:15:58.134448,4,15:15:15.534523,0,0,
143,65,23:31:02.583138,31,factual,amorphous,known-subject,18,sunspot activity,23:32:34.254925,1,23:31:31.376828,0,0,
144,66,15:41:08.689156,32,factual,specific,known-item,19,depression symptoms,15:41:42.096948,1,15:41:16.292943,0,0,
145,67,09:52:01.045971,32,factual,specific,known-item,19,depression symptoms,09:52:45.902789,1,09:52:19.044330,0,0,
146,68,14:40:49.697966,33,factual,amorphous,known-subject,19,depression symptoms,14:41:31.434473,1,14:41:06.261532,0,0,
147,69,11:21:48.711303,34,intellectual,amorphous,exploratory,19,depression symptoms,11:24:24.639259,1,11:22:36.767399,33902930.5,2,1.2
148,70,15:54:37.366719,34,intellectual,amorphous,exploratory,19,depression symptoms,15:56:00.468725,1,15:54:46.354433,16895960.0,2,1.2
149,71,14:45:46.309183,35,factual,specific,known-item,20,dehumidifiers,14:51:31.089556,4,14:46:04.986047,0,0,
150,71,14:45:46.309183,35,factual,specific,known-item,20,dehumidifiers,14:51:31.089556,4,14:46:43.420548,0,0,
151,71,14:45:46.309183,35,factual,specific,known-item,20,dehumidifiers,14:51:31.089556,4,14:47:25.166004,33013281.0,4,1.2.3.5
152,71,14:45:46.309183,35,factual,specific,known-item,20,dehumidifiers,14:51:31.089556,4,14:50:21.268483,8856380.0,2,1.2
153,72,16:52:40.773331,35,factual,specific,known-item,20,dehumidifiers,16:55:02.881054,1,16:52:45.605823,173582.0,2,1.5
154,73,15:28:52.152672,35,factual,specific,known-item,20,dehumidifiers,15:31:29.561501,1,15:29:26.668265,56731007.0,1,1
155,74,12:16:47.385998,36,factual,amorphous,known-subject,20,dehumidifiers,12:23:57.802041,2,12:17:11.479220,24573108.0,6,1.2.3.4.5.6
156,74,12:16:47.385998,36,factual,amorphous,known-subject,20,dehumidifiers,12:23:57.802041,2,12:21:45.101631,11779699.4,5,1.2.3.4.5
157,75,14:36:15.071856,37,intellectual,amorphous,exploratory,20,dehumidifiers,14:38:07.116595,1,14:36:49.146668,7643589.75,4,2.1.5.4
158,76,11:58:59.701891,38,intellectual,specific,interpretive,20,dehumidifiers,12:00:02.024297,1,11:59:31.799588,0,0,
159,77,11:22:17.826939,38,intellectual,specific,interpretive,20,dehumidifiers,11:23:10.154648,1,11:22:41.128368,0,0,
160,78,23:41:15.129812,39,factual,specific,known-item,21,swahili dishes,23:41:53.352638,1,23:41:26.068259,0,0,
161,79,15:20:00.073901,39,factual,specific,known-item,21,swahili dishes,15:20:36.095725,1,15:20:08.010904,0,0,
162,80,16:07:53.374941,40,factual,amorphous,known-subject,21,swahili dishes,16:10:29.796560,1,16:08:26.136753,19075112.0,3,4.1.5
163,81,14:34:45.279176,40,factual,amorphous,known-subject,21,swahili dishes,14:36:02.776787,1,14:35:13.181129,0,0,
164,82,12:25:59.278681,41,intellectual,specific,interpretive,21,swahili dishes,12:28:51.247133,1,12:26:37.935187,15098809.5,2,4.3
165,83,14:34:20.653549,41,intellectual,specific,interpretive,21,swahili dishes,14:37:33.196937,3,14:34:40.744740,23782068.0,1,5
166,83,14:34:20.653549,41,intellectual,specific,interpretive,21,swahili dishes,14:37:33.196937,3,14:35:28.098278,30299642.0,1,1
167,83,14:34:20.653549,41,intellectual,specific,interpretive,21,swahili dishes,14:37:33.196937,3,14:36:31.650057,43297721.0,1,1
168,84,11:13:51.765611,42,factual,amorphous,known-subject,21,swahili dishes,11:16:02.807910,1,11:14:17.521546,2558.0,1,1
169,85,16:14:09.169246,43,factual,specific,known-item,22,scientific glassblowing,16:16:02.269410,2,16:14:36.324708,42217237.0,1,1
170,85,16:14:09.169246,43,factual,specific,known-item,22,scientific glassblowing,16:16:02.269410,2,16:15:42.978121,0,0,
171,86,14:52:52.549473,43,factual,specific,known-item,22,scientific glassblowing,14:58:23.069123,2,14:53:10.338248,9433078.0,3,2.1.5
172,86,14:52:52.549473,43,factual,specific,known-item,22,scientific glassblowing,14:58:23.069123,2,14:54:20.062503,211254256.0,1,6
173,87,11:39:30.187235,44,factual,amorphous,known-subject,22,scientific glassblowing,11:42:10.247490,2,11:39:50.990154,9945534.0,2,1.2
174,87,11:39:30.187235,44,factual,amorphous,known-subject,22,scientific glassblowing,11:42:10.247490,2,11:40:28.525797,10212168.2857,7,1.2.3.4.5.6.7
175,88,10:42:30.106701,45,factual,specific,known-item,22,scientific glassblowing,10:45:49.226794,1,10:42:47.356491,51017884.5,2,1.2
176,89,11:26:42.254395,45,factual,specific,known-item,22,scientific glassblowing,11:29:26.249469,2,11:26:56.792592,18253284.0,1,2
177,89,11:26:42.254395,45,factual,specific,known-item,22,scientific glassblowing,11:29:26.249469,2,11:27:57.199262,36668960.0,1,3
178,90,18:34:43.603488,46,intellectual,amorphous,exploratory,23,collagen vascular disease,18:41:54.611447,3,18:35:06.742219,38807501.3333,3,1.2.4
179,90,18:34:43.603488,46,intellectual,amorphous,exploratory,23,collagen vascular disease,18:41:54.611447,3,18:38:02.351684,32728458.0,3,1.2.4
180,90,18:34:43.603488,46,intellectual,amorphous,exploratory,23,collagen vascular disease,18:41:54.611447,3,18:40:46.120326,38097632.0,1,1
181,91,14:13:40.946793,46,intellectual,amorphous,exploratory,23,collagen vascular disease,14:20:08.975696,5,14:13:54.016631,16991146.0,1,1
182,91,14:13:40.946793,46,intellectual,amorphous,exploratory,23,collagen vascular disease,14:20:08.975696,5,14:15:20.376779,17728501.0,1,4
183,91,14:13:40.946793,46,intellectual,amorphous,exploratory,23,collagen vascular disease,14:20:08.975696,5,14:16:24.314738,0,0,
184,91,14:13:40.946793,46,intellectual,amorphous,exploratory,23,collagen vascular disease,14:20:08.975696,5,14:17:07.057797,23871395.0,3,4.5.10
185,91,14:13:40.946793,46,intellectual,amorphous,exploratory,23,collagen vascular disease,14:20:08.975696,5,14:19:22.231697,0,0,
186,92,16:12:24.957542,47,factual,specific,known-item,24,ct fire academy,16:14:38.615441,2,16:12:45.145689,0,0,
187,92,16:12:24.957542,47,factual,specific,known-item,24,ct fire academy,16:14:38.615441,2,16:13:28.807257,0,0,
188,93,10:36:54.507647,47,factual,specific,known-item,24,ct fire academy,10:40:54.517774,2,10:37:16.959876,10936303.0,3,2.10.20
189,93,10:36:54.507647,47,factual,specific,known-item,24,ct fire academy,10:40:54.517774,2,10:40:04.698157,12936930.0,1,2
190,94,19:10:25.770694,47,factual,specific,known-item,24,ct fire academy,19:14:14.538658,4,19:11:10.247066,0,0,
191,94,19:10:25.770694,47,factual,specific,known-item,24,ct fire academy,19:14:14.538658,4,19:11:44.255478,0,0,
192,94,19:10:25.770694,47,factual,specific,known-item,24,ct fire academy,19:14:14.538658,4,19:12:07.851885,366942.0,1,1
193,94,19:10:25.770694,47,factual,specific,known-item,24,ct fire academy,19:14:14.538658,4,19:13:58.938178,0,0,
194,95,14:39:23.912997,47,factual,specific,known-item,24,ct fire academy,14:41:20.853024,2,14:40:00.632486,58546.0,1,2
195,95,14:39:23.912997,47,factual,specific,known-item,24,ct fire academy,14:41:20.853024,2,14:40:48.442829,0,0,
196,96,23:18:41.610330,48,intellectual,specific,interpretive,24,ct fire academy,23:20:42.802121,1,23:19:23.262297,724385.0,1,3
197,97,10:47:58.620717,48,intellectual,specific,interpretive,24,ct fire academy,10:50:11.079316,2,10:48:15.434815,0,0,
198,97,10:47:58.620717,48,intellectual,specific,interpretive,24,ct fire academy,10:50:11.079316,2,10:48:40.830326,45295466.0,1,1
199,98,12:25:07.158438,48,intellectual,specific,interpretive,24,ct fire academy,12:27:51.423024,1,12:25:36.042032,25297424.0,3,1.3.7
